英雄名,职业名,生命,攻击,智力,防御,魔防,技巧,铸纹生命,铸纹攻击,铸纹智力,铸纹防御,铸纹魔防,铸纹技巧,英雄头像
自定义英雄,自定义,0,0,0,0,0,0,0,0,0,0,0,0,./image/自定义英雄头像.png
霞,断命之天神,4201,560,244,315,280,252,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/f/f9/tj8949qu9hp81wfs0a1f7drkz4jcloz.png/82px-%E5%A4%B4%E5%83%8F_%E9%9C%9E.png
女天狗,缭乱的天狗姬,4406,607,222,307,329,161,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/4/42/964frpmeg6jke6pjbj6fgbo8y2frzmi.png/82px-%E5%A4%B4%E5%83%8F_%E5%A5%B3%E5%A4%A9%E7%8B%97.png
玛莉·萝丝,小恶魔女仆,4552,590,267,343,276,175,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/e/eb/fevue17g39g2z4udp8e9pzzgd4clj00.png/82px-%E5%A4%B4%E5%83%8F_%E7%8E%9B%E8%8E%89%C2%B7%E8%90%9D%E4%B8%9D.png
断翼鸟,暗夜君王,3852,569,251,299,292,269,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/b/ba/210e6my0do34oaij8jaqu6tufkbr95v.png/82px-%E5%A4%B4%E5%83%8F_%E6%96%AD%E7%BF%BC%E9%B8%9F.png
断翼鸟,风暴主宰,3852,569,251,269,318,239,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/b/ba/210e6my0do34oaij8jaqu6tufkbr95v.png/82px-%E5%A4%B4%E5%83%8F_%E6%96%AD%E7%BF%BC%E9%B8%9F.png
兰黛尔,深海复仇者,4159,270,580,278,365,175,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/0/02/0kxvd6qt2prpmshn7cncekdgn6oh2d8.png/82px-%E5%A4%B4%E5%83%8F_%E5%85%B0%E9%BB%9B%E5%B0%94.png
兰黛尔,匣梦枭魔,4492,244,580,313,353,175,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/0/02/0kxvd6qt2prpmshn7cncekdgn6oh2d8.png/82px-%E5%A4%B4%E5%83%8F_%E5%85%B0%E9%BB%9B%E5%B0%94.png
炎龙破灭者,炎狱掌控者,5187,580,271,415,261,90,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/1/13/42t300h4xv5633b2lobk5ynyamkemnr.png/82px-%E5%A4%B4%E5%83%8F_%E7%82%8E%E9%BE%99%E7%A0%B4%E7%81%AD%E8%80%85.png
炎龙破灭者,赤曜征服者,4853,580,247,383,272,121,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/1/13/42t300h4xv5633b2lobk5ynyamkemnr.png/82px-%E5%A4%B4%E5%83%8F_%E7%82%8E%E9%BE%99%E7%A0%B4%E7%81%AD%E8%80%85.png
